آزمود	آزما
انداخت	انداز
آزرد	آزار
اندود	اندا
آسود	آسا
انگاشت	انگار
آشفت	آشوب
انگیخت	انگیز
آغشت	آغار
باخت	باز
آفرید	آفرین
بخشید	بخش
بخشود	بخشا
برد	بر
آمد	آ
بست	بند
آموخت	آموز
بود	باش
آمیخت	آمیز
بیخت	بیز
آورد	آور
پالود	پالا
آویخت	آویز
پخت	پز
پذیرفت	پذیر
پرداخت	پرداز
افراشت	افراز
پنداشت	پندار
افروخت	افروز
پیمود	پیما
افزود	افزا
پیوست	پیوند
افشرد	افشار
تاخت	تاز
انباشت	انباز
تافت	تاب
توخت	توز
ساخت	ساز
جست	جه
سپرد	سپار
چید	چین
ستاند	ستان
جست	جو
ستود	ستا
خاست	خیز
سرود	سرا
خفت	خواب
سفت	سنب
داد	ده
سوخت	سوز
داشت	دار
شتافت	شتاب
دانست	دان
شد	شو
دروید	درو
شست	شوی
دوخت	دوز
شكست	شكن
دوشید	دوش
شمرد	شمر
دید	بین
شناخت	شناس
ربود	ربا
رست	ره
شنید	شنو
رشت	ریس
فرمود	فرما
رفت	روب
رفت	رو
فروخت	فروش
فریفت	فریب
زد	زن
فشرد	فشار
زدود	زدا
كاست	كاه
كاشت	كار
گشت	گرد
كرد	كن
گشود	گشا
کشت	کار
گفت	گو
كوفت	كوب
گماشت	گمار
گداخت	گداز
مرد	میر
گذاشت	گذار
نگاشت	نگار
گرفت	گیر
نواخت	نواز
گریخت	گریز
نمود	نما
گزید	گزین
هشت	هل
گسست	گسل
یافت	یاب
گسیخت	گسل
کرد	کن
داشت	دار
چلاند	چل
خورد	خور
سپرد	سپار
گذشت	گذر
خیساند	خیسان
